n,l,energy,pde_loss,norm_loss,ortho_loss
1,0,-0.228281289,0.004703596,1.175509095,0.000000000
1,0,-0.230793685,0.004013847,0.531526327,0.000000000
1,0,-0.233700380,0.003404387,0.176721945,0.000000000
1,0,-0.236973584,0.002888169,0.026731728,0.000000000
1,0,-0.240525275,0.002470694,0.001653887,0.000000000
1,0,-0.244208440,0.002148257,0.038407978,0.000000000
1,0,-0.247833952,0.001910314,0.095734939,0.000000000
1,0,-0.251198202,0.001743655,0.151109934,0.000000000
1,0,-0.254115731,0.001635697,0.194382161,0.000000000
1,0,-0.256447166,0.001576054,0.222202465,0.000000000
1,0,-0.258116215,0.001556836,0.234486118,0.000000000
1,0,-0.259112775,0.001572313,0.232565954,0.000000000
1,0,-0.259483606,0.001618399,0.218386725,0.000000000
1,0,-0.259316534,0.001692100,0.194244072,0.000000000
1,0,-0.258722514,0.001791018,0.162764847,0.000000000
1,0,-0.257819980,0.001912878,0.126950756,0.000000000
1,0,-0.256724179,0.002055092,0.090174399,0.000000000
1,0,-0.255540520,0.002214343,0.056038205,0.000000000
1,0,-0.254362166,0.002386193,0.028039925,0.000000000
1,0,-0.253269613,0.002564784,0.009027927,0.000000000
1,0,-0.252331793,0.002742706,0.000516225,0.000000000
1,0,-0.251606613,0.002911206,0.002066567,0.000000000
1,0,-0.251141459,0.003060860,0.011067954,0.000000000
1,0,-0.250971705,0.003182750,0.023230379,0.000000000
1,0,-0.251120150,0.003269903,0.033822585,0.000000000
1,0,-0.251595974,0.003318556,0.039214652,0.000000000
1,0,-0.252394974,0.003328772,0.037991971,0.000000000
1,0,-0.253500551,0.003304244,0.031122072,0.000000000
1,0,-0.254884362,0.003251452,0.021208098,0.000000000
1,0,-0.256506920,0.003178523,0.011313505,0.000000000
1,0,-0.258317560,0.003094096,0.003914674,0.000000000
1,0,-0.260255575,0.003006396,0.000320230,0.000000000
1,0,-0.262252122,0.002922585,0.000603848,0.000000000
1,0,-0.264234126,0.002848406,0.003902429,0.000000000
1,0,-0.266129553,0.002788082,0.008863909,0.000000000
1,0,-0.267873585,0.002744385,0.014070388,0.000000000
1,0,-0.269414276,0.002718817,0.018340908,0.000000000
1,0,-0.270717382,0.002711820,0.020895727,0.000000000
1,0,-0.271768510,0.002722956,0.021404009,0.000000000
1,0,-0.272573620,0.002751049,0.019949546,0.000000000
1,0,-0.273156703,0.002794288,0.016945498,0.000000000
1,0,-0.273556679,0.002850283,0.013018126,0.000000000
1,0,-0.273822576,0.002916112,0.008873710,0.000000000
1,0,-0.274009258,0.002988402,0.005161738,0.000000000
1,0,-0.274173319,0.003063432,0.002354662,0.000000000
1,0,-0.274368733,0.003137313,0.000665320,0.000000000
1,0,-0.274644166,0.003206245,0.000026720,0.000000000
1,0,-0.275040448,0.003266803,0.000143785,0.000000000
1,0,-0.275588572,0.003316258,0.000606100,0.000000000
1,0,-0.276308686,0.003352845,0.001026951,0.000000000
1,0,-0.277209371,0.003375929,0.001160677,0.000000000
1,0,-0.278287649,0.003386036,0.000958291,0.000000000
1,0,-0.279529631,0.003384743,0.000547284,0.000000000
1,0,-0.280911535,0.003374447,0.000153347,0.000000000
1,0,-0.282401383,0.003358063,0.000000795,0.000000000
1,0,-0.283961624,0.003338709,0.000230868,0.000000000
1,0,-0.285551459,0.003319411,0.000861656,0.000000000
1,0,-0.287130326,0.003302870,0.001793860,0.000000000
1,0,-0.288661033,0.003291294,0.002850259,0.000000000
1,0,-0.290112346,0.003286309,0.003829960,0.000000000
1,0,-0.291461915,0.003288923,0.004559275,0.000000000
1,0,-0.292697161,0.003299523,0.004927793,0.000000000
1,0,-0.293816090,0.003317926,0.004903354,0.000000000
1,0,-0.294826776,0.003343436,0.004527921,0.000000000
1,0,-0.295745969,0.003374923,0.003898193,0.000000000
1,0,-0.296596974,0.003410920,0.003137428,0.000000000
1,0,-0.297407448,0.003449729,0.002366483,0.000000000
1,0,-0.298206896,0.003489546,0.001680307,0.000000000
1,0,-0.299024105,0.003528595,0.001134637,0.000000000
1,0,-0.299884915,0.003565260,0.000744987,0.000000000
1,0,-0.300810695,0.003598214,0.000496557,0.000000000
1,0,-0.301816911,0.003626511,0.000359800,0.000000000
1,0,-0.302912056,0.003649659,0.000306293,0.000000000
1,0,-0.304097950,0.003667635,0.000319188,0.000000000
1,0,-0.305369526,0.003680851,0.000395667,0.000000000
1,0,-0.306715876,0.003690097,0.000541965,0.000000000
1,0,-0.308121234,0.003696426,0.000764321,0.000000000
1,0,-0.309566766,0.003701050,0.001060207,0.000000000
1,0,-0.311031848,0.003705208,0.001413033,0.000000000
1,0,-0.312496394,0.003710066,0.001792634,0.000000000
1,0,-0.313941896,0.003716625,0.002159997,0.000000000
1,0,-0.315353423,0.003725650,0.002475249,0.000000000
1,0,-0.316720426,0.003737642,0.002705629,0.000000000
1,0,-0.318037212,0.003752815,0.002831300,0.000000000
1,0,-0.319303244,0.003771108,0.002848242,0.000000000
1,0,-0.320522755,0.003792220,0.002767327,0.000000000
1,0,-0.321704000,0.003815637,0.002610822,0.000000000
1,0,-0.322858185,0.003840704,0.002407122,0.000000000
1,0,-0.323998421,0.003866678,0.002185374,0.000000000
1,0,-0.325138062,0.003892795,0.001971321,0.000000000
1,0,-0.326290160,0.003918339,0.001784658,0.000000000
1,0,-0.327465832,0.003942688,0.001638468,0.000000000
1,0,-0.328673542,0.003965373,0.001539764,0.000000000
1,0,-0.329918861,0.003986094,0.001491223,0.000000000
1,0,-0.331203878,0.004004749,0.001492351,0.000000000
1,0,-0.332527280,0.004021411,0.001540531,0.000000000
1,0,-0.333884984,0.004036321,0.001631267,0.000000000
1,0,-0.335270375,0.004049841,0.001757952,0.000000000
1,0,-0.336675137,0.004062420,0.001911679,0.000000000
1,0,-0.338090122,0.004074540,0.002081295,0.000000000
1,0,-0.339506060,0.004086674,0.002254134,0.000000000
1,0,-0.340914547,0.004099244,0.002417163,0.000000000
1,0,-0.342308491,0.004112590,0.002558496,0.000000000
1,0,-0.343682766,0.004126946,0.002668848,0.000000000
1,0,-0.345034301,0.004142437,0.002742687,0.000000000
1,0,-0.346362263,0.004159065,0.002778633,0.000000000
1,0,-0.347667903,0.004176735,0.002779381,0.000000000
1,0,-0.348954260,0.004195261,0.002750940,0.000000000
1,0,-0.350225598,0.004214392,0.002701588,0.000000000
1,0,-0.351487100,0.004233838,0.002640625,0.000000000
1,0,-0.352743983,0.004253302,0.002577198,0.000000000
1,0,-0.354001373,0.004272501,0.002519452,0.000000000
1,0,-0.355263561,0.004291191,0.002474004,0.000000000
1,0,-0.356533885,0.004309184,0.002445554,0.000000000
1,0,-0.357814312,0.004326359,0.002436796,0.000000000
1,0,-0.359105349,0.004342668,0.002448650,0.000000000
1,0,-0.360406280,0.004358133,0.002480275,0.000000000
1,0,-0.361715227,0.004372837,0.002529383,0.000000000
1,0,-0.363029152,0.004386910,0.002592435,0.000000000
1,0,-0.364344656,0.004400515,0.002665062,0.000000000
1,0,-0.365657717,0.004413829,0.002742250,0.000000000
1,0,-0.366964698,0.004427027,0.002818938,0.000000000
1,0,-0.368262082,0.004440269,0.002890399,0.000000000
1,0,-0.369546890,0.004453676,0.002952681,0.000000000
1,0,-0.370816976,0.004467340,0.003002802,0.000000000
1,0,-0.372070968,0.004481307,0.003039199,0.000000000
1,0,-0.373308510,0.004495579,0.003061538,0.000000000
1,0,-0.374529660,0.004510121,0.003070773,0.000000000
1,0,-0.375735402,0.004524866,0.003068911,0.000000000
1,0,-0.376927048,0.004539724,0.003058617,0.000000000
1,0,-0.378106207,0.004554585,0.003043038,0.000000000
1,0,-0.379274666,0.004569341,0.003025296,0.000000000
1,0,-0.380433917,0.004583892,0.003008285,0.000000000
1,0,-0.381585330,0.004598145,0.002994479,0.000000000
1,0,-0.382729679,0.004612032,0.002985659,0.000000000
1,0,-0.383867502,0.004625507,0.002982918,0.000000000
1,0,-0.384998828,0.004638553,0.002986656,0.000000000
1,0,-0.386123091,0.004651170,0.002996639,0.000000000
1,0,-0.387239397,0.004663388,0.003011974,0.000000000
1,0,-0.388346612,0.004675248,0.003031423,0.000000000
1,0,-0.389443427,0.004686803,0.003053345,0.000000000
1,0,-0.390528291,0.004698116,0.003075994,0.000000000
1,0,-0.391599834,0.004709242,0.003097645,0.000000000
1,0,-0.392656863,0.004720236,0.003116763,0.000000000
1,0,-0.393698096,0.004731142,0.003131982,0.000000000
1,0,-0.394722760,0.004741989,0.003142385,0.000000000
1,0,-0.395730495,0.004752796,0.003147499,0.000000000
1,0,-0.396720916,0.004763560,0.003147211,0.000000000
1,0,-0.397694021,0.004774273,0.003141796,0.000000000
1,0,-0.398649991,0.004784911,0.003131862,0.000000000
1,0,-0.399589330,0.004795441,0.003118294,0.000000000
1,0,-0.400512427,0.004805827,0.003102039,0.000000000
