n,l,energy,pde_loss,norm_loss,ortho_loss
2,1,-0.052348692,0.000136425,0.718014657,0.000000000
2,1,-0.109345421,0.000220373,0.251558751,0.000000000
2,1,-0.116306707,0.000315132,0.285187483,0.000000000
2,1,-0.116005123,0.000274680,0.000942656,0.000000000
2,1,-0.112528466,0.000245933,0.089919955,0.000000000
2,1,-0.110292174,0.000240120,0.133071765,0.000000000
2,1,-0.112217337,0.000249898,0.073805653,0.000000000
2,1,-0.115278624,0.000270482,0.002259078,0.000000000
2,1,-0.116895989,0.000293191,0.050561033,0.000000000
2,1,-0.117126137,0.000298224,0.082655787,0.000000000
2,1,-0.116253562,0.000284043,0.012098378,0.000000000
2,1,-0.114038959,0.000267238,0.008276449,0.000000000
2,1,-0.111632586,0.000257285,0.040333375,0.000000000
2,1,-0.110922158,0.000255741,0.046303630,0.000000000
2,1,-0.112249359,0.000261560,0.022393439,0.000000000
2,1,-0.114360914,0.000272434,0.000427951,0.000000000
2,1,-0.115912564,0.000283781,0.015311252,0.000000000
2,1,-0.116400726,0.000288394,0.035713162,0.000000000
2,1,-0.115832984,0.000283047,0.016427217,0.000000000
2,1,-0.114313744,0.000272698,0.000051588,0.000000000
2,1,-0.112441443,0.000263684,0.008394917,0.000000000
2,1,-0.111321948,0.000259215,0.017935272,0.000000000
2,1,-0.111620031,0.000259903,0.013828154,0.000000000
2,1,-0.112994760,0.000264785,0.002668491,0.000000000
2,1,-0.114520110,0.000271485,0.001660837,0.000000000
2,1,-0.115441233,0.000276170,0.012656588,0.000000000
2,1,-0.115485251,0.000275392,0.013432819,0.000000000
2,1,-0.114709169,0.000269516,0.002974694,0.000000000
2,1,-0.113464653,0.000262172,0.000530424,0.000000000
2,1,-0.112445340,0.000256756,0.005541491,0.000000000
2,1,-0.112290874,0.000254851,0.006902929,0.000000000
2,1,-0.113061599,0.000256392,0.002508502,0.000000000
2,1,-0.114231423,0.000259976,0.000101200,0.000000000
2,1,-0.115151279,0.000263068,0.004458291,0.000000000
2,1,-0.115453660,0.000263010,0.007061968,0.000000000
2,1,-0.115110949,0.000259166,0.002712988,0.000000000
2,1,-0.114376172,0.000253535,0.000005272,0.000000000
2,1,-0.113739781,0.000248783,0.001962793,0.000000000
2,1,-0.113668859,0.000246505,0.002980197,0.000000000
2,1,-0.114237539,0.000246859,0.000978016,0.000000000
2,1,-0.115085296,0.000248720,0.000159947,0.000000000
2,1,-0.115743518,0.000250046,0.002600769,0.000000000
2,1,-0.115948796,0.000248951,0.003319122,0.000000000
2,1,-0.115715042,0.000245278,0.000879008,0.000000000
2,1,-0.115290739,0.000240718,0.000098000,0.000000000
2,1,-0.115053140,0.000237236,0.001207491,0.000000000
2,1,-0.115251429,0.000235813,0.001032866,0.000000000
2,1,-0.115798086,0.000236156,0.000030460,0.000000000
2,1,-0.116369411,0.000236910,0.000752572,0.000000000
2,1,-0.116686083,0.000236365,0.001852260,0.000000000
2,1,-0.116674878,0.000233762,0.000908357,0.000000000
2,1,-0.116468489,0.000229988,0.000000930,0.000000000
2,1,-0.116326615,0.000226675,0.000473782,0.000000000
2,1,-0.116456255,0.000224887,0.000545944,0.000000000
2,1,-0.116833642,0.000224565,0.000019640,0.000000000
2,1,-0.117242835,0.000224642,0.000418061,0.000000000
2,1,-0.117481887,0.000223733,0.000994436,0.000000000
2,1,-0.117500648,0.000221273,0.000415724,0.000000000
2,1,-0.117405541,0.000218035,0.000004050,0.000000000
2,1,-0.117382154,0.000215328,0.000286562,0.000000000
2,1,-0.117546707,0.000213887,0.000189722,0.000000000
2,1,-0.117841132,0.000213432,0.000013251,0.000000000
2,1,-0.118105128,0.000212917,0.000411477,0.000000000
2,1,-0.118229501,0.000211364,0.000470400,0.000000000
2,1,-0.118226767,0.000208767,0.000057834,0.000000000
2,1,-0.118206568,0.000206059,0.000068952,0.000000000
2,1,-0.118284956,0.000204163,0.000154196,0.000000000
