n,l,energy,fidelity,pde_loss,epochs,time,param_file,wf_file
1,0,-0.49999934434890747,1.0012507438659668,9.708479353776056e-08,10814,8.348290920257568,state_n_1_l_0.pt,wf_n_1_l_0.npy
1,0,-0.49999916553497314,1.00071120262146,9.823435931366475e-08,10588,8.49671721458435,state_n_1_l_0.pt,wf_n_1_l_0.npy
1,0,-0.4999988079071045,0.999998927116394,9.989445715063994e-08,7155,5.634282112121582,state_n_1_l_0.pt,wf_n_1_l_0.npy
1,0,-0.49999868869781494,0.9999978542327881,9.998084493645365e-08,6458,5.156017065048218,state_n_1_l_0.pt,wf_n_1_l_0.npy
1,0,-0.49999895691871643,0.9999963045120239,9.990798588432881e-08,7803,5.8395609855651855,state_n_1_l_0.pt,wf_n_1_l_0.npy
1,0,-0.4999987483024597,0.9999976754188538,9.99733629214461e-08,6688,5.234673976898193,state_n_1_l_0.pt,wf_n_1_l_0.npy
1,0,-0.4999997913837433,0.9999982118606567,9.997915384474254e-08,6445,5.033792734146118,state_n_1_l_0.pt,wf_n_1_l_0.npy
1,0,-0.4999989867210388,0.9999991059303284,9.999423866702273e-08,7343,5.568452835083008,state_n_1_l_0.pt,wf_n_1_l_0.npy
1,0,-0.49999934434890747,0.9999977946281433,9.996666960887524e-08,7210,5.526101112365723,state_n_1_l_0.pt,wf_n_1_l_0.npy
1,0,-0.4999992251396179,0.9999986290931702,9.997857119969922e-08,8967,7.098989963531494,state_n_1_l_0.pt,wf_n_1_l_0.npy
2,0,-0.12499946355819702,0.9999872609476346,4.0048892202548814e-08,77700,59.924826860427856,state_n_2_l_0.pt,wf_n_2_l_0.npy
2,0,-0.12500017881393433,0.9999871350825982,1.3501593798537215e-07,47200,37.31415891647339,state_n_2_l_0.pt,wf_n_2_l_0.npy
2,0,-0.12499979138374329,0.9999866509863086,1.2209764577164606e-07,58900,45.54292106628418,state_n_2_l_0.pt,wf_n_2_l_0.npy
2,0,-0.1249992847442627,0.9999834428407353,2.2598126747652714e-07,58100,44.41223478317261,state_n_2_l_0.pt,wf_n_2_l_0.npy
2,0,-0.12499946355819702,0.9999903506921451,1.2419280892572715e-07,49600,39.43413996696472,state_n_2_l_0.pt,wf_n_2_l_0.npy
2,0,-0.1249987781047821,0.9999882579635833,7.056029716068224e-08,56500,44.58762192726135,state_n_2_l_0.pt,wf_n_2_l_0.npy
2,0,-0.12499898672103882,0.9999898336483873,1.0955728413364341e-07,47500,36.80832314491272,state_n_2_l_0.pt,wf_n_2_l_0.npy
2,0,-0.12499858438968658,0.9999892262031159,1.2011840055947687e-07,62500,48.81559610366821,state_n_2_l_0.pt,wf_n_2_l_0.npy
2,0,-0.12499929964542389,0.9999861310577157,4.797324848482276e-08,67600,52.06472969055176,state_n_2_l_0.pt,wf_n_2_l_0.npy
2,0,-0.12499978393316269,0.9999906025505301,7.461551376763964e-08,60300,48.63179397583008,state_n_2_l_0.pt,wf_n_2_l_0.npy
2,1,-0.12499096989631653,0.999958311093628,9.999868666454859e-08,53715,42.6690719127655,state_n_2_l_1.pt,wf_n_2_l_1.npy
2,1,-0.12498831748962402,0.9999421327154892,9.999914141189947e-08,49937,39.06944704055786,state_n_2_l_1.pt,wf_n_2_l_1.npy
2,1,-0.12499283254146576,0.9999641794952233,9.999824612805241e-08,41028,33.98173999786377,state_n_2_l_1.pt,wf_n_2_l_1.npy
2,1,-0.12499457597732544,0.9999742366150857,9.999852323971936e-08,56480,43.905242681503296,state_n_2_l_1.pt,wf_n_2_l_1.npy
2,1,-0.12498006969690323,0.9998956421285337,9.999947536698528e-08,34712,28.97662115097046,state_n_2_l_1.pt,wf_n_2_l_1.npy
2,1,-0.12499264627695084,0.9999665595179683,9.999909877933533e-08,49594,40.34401988983154,state_n_2_l_1.pt,wf_n_2_l_1.npy
2,1,-0.12498334050178528,0.9999158301929253,9.999905614677118e-08,40514,33.40959882736206,state_n_2_l_1.pt,wf_n_2_l_1.npy
2,1,-0.1249925047159195,0.9999645019778544,9.999915562275419e-08,46535,36.817408084869385,state_n_2_l_1.pt,wf_n_2_l_1.npy
2,1,-0.12499035149812698,0.9999545977658154,9.999572370134047e-08,43610,34.343621015548706,state_n_2_l_1.pt,wf_n_2_l_1.npy
2,1,-0.12499017268419266,0.9999516926023304,9.99999585360456e-08,52335,41.76336884498596,state_n_2_l_1.pt,wf_n_2_l_1.npy
3,0,-0.05553952977061272,0.9998521347733519,2.5059914605662925e-06,181800,139.58825135231018,state_n_3_l_0.pt,wf_n_3_l_0.npy
3,0,-0.05551108345389366,0.9995937775625805,5.300870270730229e-06,153600,120.42733407020569,state_n_3_l_0.pt,wf_n_3_l_0.npy
3,0,-0.055536024272441864,1.0000910097679192,3.3856997561088065e-06,287700,227.5016782283783,state_n_3_l_0.pt,wf_n_3_l_0.npy
3,0,-0.05554020777344704,0.9999817113205551,3.898360318999039e-06,77200,60.01021599769592,state_n_3_l_0.pt,wf_n_3_l_0.npy
3,0,-0.05553829297423363,0.9999223655950353,2.5155859475489706e-06,217000,170.06372809410095,state_n_3_l_0.pt,wf_n_3_l_0.npy
3,0,-0.05552873760461807,0.9999677805428098,2.7676560421241447e-06,277300,218.69939422607422,state_n_3_l_0.pt,wf_n_3_l_0.npy
3,0,-0.05553369224071503,0.9999182839118141,3.4089612199750263e-06,162300,131.09716987609863,state_n_3_l_0.pt,wf_n_3_l_0.npy
3,0,-0.05553180351853371,0.9999083531234505,2.7349672109266976e-06,127200,96.0025999546051,state_n_3_l_0.pt,wf_n_3_l_0.npy
3,0,-0.05554067716002464,0.9998930922107325,1.569576738802425e-06,194400,154.259770154953,state_n_3_l_0.pt,wf_n_3_l_0.npy
3,0,-0.055552706122398376,0.9999773734572659,9.7707697932492e-07,61000,47.25042009353638,state_n_3_l_0.pt,wf_n_3_l_0.npy
3,1,-0.05554138496518135,0.9996062340655537,2.2646455022368173e-07,259300,204.13923501968384,state_n_3_l_1.pt,wf_n_3_l_1.npy
3,1,-0.055536285042762756,0.999681538997138,1.0201868150261362e-07,259600,202.33235788345337,state_n_3_l_1.pt,wf_n_3_l_1.npy
3,1,-0.055534884333610535,0.9994626678299723,2.7628678367364046e-07,335200,268.370480298996,state_n_3_l_1.pt,wf_n_3_l_1.npy
3,1,-0.05553344637155533,0.9996224588192504,1.4987928409482265e-07,306900,241.31743001937866,state_n_3_l_1.pt,wf_n_3_l_1.npy
3,1,-0.055530209094285965,0.9995424453885624,9.999601502386213e-08,192676,149.5473759174347,state_n_3_l_1.pt,wf_n_3_l_1.npy
3,1,-0.05553620308637619,0.9996367427864499,1.1877628480760904e-07,234100,186.46338200569153,state_n_3_l_1.pt,wf_n_3_l_1.npy
3,1,-0.05552806332707405,0.9994854355765416,1.4265989989326044e-07,361700,281.2020490169525,state_n_3_l_1.pt,wf_n_3_l_1.npy
3,1,-0.055530812591314316,0.9996111841895621,1.9480145851957786e-07,299900,232.23129224777222,state_n_3_l_1.pt,wf_n_3_l_1.npy
3,1,-0.05552941933274269,0.9995635813867735,2.0457771654491808e-07,312200,234.8395597934723,state_n_3_l_1.pt,wf_n_3_l_1.npy
