n,l,energy,fidelity,pde_loss,epochs,time,param_file,wf_file,rmsre
1,0,-0.5000000596046448,1.0002031326293943,4.97684276012933e-08,19096,14.090253114700316,state_n_1_l_0.pt,wf_n_1_l_0.npy,1.1920928955078125e-07
2,0,-0.1249999031424522,0.9999964825275188,4.9997133544366086e-08,84963,66.79560208320618,state_n_2_l_0.pt,wf_n_2_l_0.npy,7.74860382413145e-07
2,1,-0.1249991804361343,0.999992104835162,4.9999947293599696e-08,55398,44.510761976242065,state_n_2_l_1.pt,wf_n_2_l_1.npy,6.556510925626036e-06
3,0,-0.0555525347590446,0.9999553322518608,4.9999101747744135e-08,54929,45.31196999549866,state_n_3_l_0.pt,wf_n_3_l_0.npy,5.437433719716889e-05
3,1,-0.0555508323013782,0.999975053502176,4.9998028828213143e-08,21944,18.484402894973755,state_n_3_l_1.pt,wf_n_3_l_1.npy,8.501857519231659e-05
3,2,-0.0555506609380245,0.9999730833348568,5.80000261152236e-08,799999,612.207099199295,state_n_3_l_2.pt,wf_n_3_l_2.npy,8.810311555894346e-05
4,0,-0.0312218852341175,0.9992738366127014,1.680691639194265e-07,799999,604.1284170150757,state_n_4_l_0.pt,wf_n_4_l_0.npy,0.0008996725082399681
4,1,-0.0312364138662815,0.9998215131305944,7.17218497925387e-08,799999,613.1705379486084,state_n_4_l_1.pt,wf_n_4_l_1.npy,0.0004347562789920323
