n,l,energy,pde_loss,norm_loss,ortho_loss
2,0,-0.58235007524490356445,0.00021686054242309183,0.99470949172973632812,0.00196097604930400848
2,0,-0.66707009077072143555,0.00022958112822379917,0.99333602190017700195,0.00268706120550632477
2,0,-0.72939682006835937500,0.00023528396559413522,0.99196779727935791016,0.00342708802781999111
2,0,-0.77649384737014770508,0.00023655197583138943,0.99061518907546997070,0.00416865898296236992
2,0,-0.81283676624298095703,0.00023415801115334034,0.98929733037948608398,0.00489685125648975372
2,0,-0.84130102396011352539,0.00022898527095094323,0.98802143335342407227,0.00560405850410461426
2,0,-0.86381059885025024414,0.00022186062415130436,0.98678845167160034180,0.00628724228590726852
2,0,-0.88169246912002563477,0.00021353906777221709,0.98559242486953735352,0.00694737676531076431
2,0,-0.89588910341262817383,0.00020470342133194208,0.98442184925079345703,0.00758914230391383171
2,0,-0.90709578990936279297,0.00019596368656493723,0.98325902223587036133,0.00822059344500303268
2,0,-0.91584926843643188477,0.00018785586871672422,0.98208135366439819336,0.00885284692049026489
2,0,-0.92258596420288085938,0.00018084068142343313,0.98086184263229370117,0.00949966907501220703
2,0,-0.92767882347106933594,0.00017529679462313652,0.97957009077072143555,0.01017671171575784683
2,0,-0.93145626783370971680,0.00017151347128674388,0.97817540168762207031,0.01090035121887922287
2,0,-0.93420791625976562500,0.00016968912677839398,0.97664856910705566406,0.01168634742498397827
2,0,-0.93618106842041015625,0.00016994318866636604,0.97496366500854492188,0.01254885271191596985
2,0,-0.93757522106170654297,0.00017233974358532578,0.97309893369674682617,0.01350000035017728806
2,0,-0.93854236602783203125,0.00017691624816507101,0.97103589773178100586,0.01455012056976556778
2,0,-0.93919080495834350586,0.00018370668112765998,0.96875864267349243164,0.01570819877088069916
2,0,-0.93959408998489379883,0.00019275835074950010,0.96625250577926635742,0.01698239706456661224
2,0,-0.93979978561401367188,0.00020413953461684287,0.96350330114364624023,0.01838051527738571167
2,0,-0.93983727693557739258,0.00021794298663735390,0.96049714088439941406,0.01991022936999797821
2,0,-0.93972581624984741211,0.00023428563144989312,0.95721930265426635742,0.02157943509519100189
2,0,-0.93947792053222656250,0.00025330623611807823,0.95365524291992187500,0.02339624240994453430
2,0,-0.93910330533981323242,0.00027516295085661113,0.94978910684585571289,0.02536918409168720245
2,0,-0.93861061334609985352,0.00030003109714016318,0.94560468196868896484,0.02750718034803867340
2,0,-0.93800848722457885742,0.00032810011180117726,0.94108539819717407227,0.02981960959732532501
2,0,-0.93730545043945312500,0.00035957229556515813,0.93621361255645751953,0.03231626376509666443
2,0,-0.93651109933853149414,0.00039465969894081354,0.93097174167633056641,0.03500737249851226807
2,0,-0.93563473224639892578,0.00043358374387025833,0.92534148693084716797,0.03790350630879402161
2,0,-0.93468630313873291016,0.00047657242976129055,0.91930490732192993164,0.04101557657122612000
2,0,-0.93367546796798706055,0.00052385934395715594,0.91284346580505371094,0.04435474053025245667
2,0,-0.93261158466339111328,0.00057568168267607689,0.90593934059143066406,0.04793237149715423584
2,0,-0.93150377273559570312,0.00063227798091247678,0.89857506752014160156,0.05175990238785743713
2,0,-0.93036085367202758789,0.00069388747215270996,0.89073365926742553711,0.05584884807467460632
2,0,-0.92919051647186279297,0.00076074677053838968,0.88239938020706176758,0.06021067127585411072
2,0,-0.92800021171569824219,0.00083308730972930789,0.87355738878250122070,0.06485664099454879761
2,0,-0.92679679393768310547,0.00091113412054255605,0.86419415473937988281,0.06979779899120330811
2,0,-0.92558610439300537109,0.00099510222207754850,0.85429811477661132812,0.07504483312368392944
2,0,-0.92437386512756347656,0.00108519301284104586,0.84385937452316284180,0.08060798794031143188
2,0,-0.92316502332687377930,0.00118159130215644836,0.83287048339843750000,0.08649686723947525024
2,0,-0.92196393013000488281,0.00128446158487349749,0.82132601737976074219,0.09272051602602005005
2,0,-0.92077499628067016602,0.00139394297730177641,0.80922383069992065430,0.09928691387176513672
2,0,-0.91960096359252929688,0.00151014630682766438,0.79656410217285156250,0.10620326548814773560
2,0,-0.91844582557678222656,0.00163314770907163620,0.78335082530975341797,0.11347558349370956421
2,0,-0.91731202602386474609,0.00176298455335199833,0.76959121227264404297,0.12110862135887145996
2,0,-0.91620260477066040039,0.00189964845776557922,0.75529640913009643555,0.12910562753677368164
2,0,-0.91512000560760498047,0.00204307911917567253,0.74048173427581787109,0.13746812939643859863
2,0,-0.91406601667404174805,0.00219316431321203709,0.72516632080078125000,0.14619600772857666016
2,0,-0.91304367780685424805,0.00234972289763391018,0.70937430858612060547,0.15528693795204162598
2,0,-0.91205459833145141602,0.00251250923611223698,0.69313442707061767578,0.16473621129989624023
2,0,-0.91110134124755859375,0.00268119829706847668,0.67648017406463623047,0.17453667521476745605
2,0,-0.91018575429916381836,0.00285538332536816597,0.65945035219192504883,0.18467816710472106934
2,0,-0.90931051969528198242,0.00303456210531294346,0.64208930730819702148,0.19514745473861694336
2,0,-0.90847778320312500000,0.00321812857873737812,0.62444663047790527344,0.20592753589153289795
2,0,-0.90769004821777343750,0.00340537517331540585,0.60657745599746704102,0.21699769794940948486
2,0,-0.90695017576217651367,0.00359547859989106655,0.58854234218597412109,0.22833311557769775391
2,0,-0.90626114606857299805,0.00378750148229300976,0.57040721178054809570,0.23990419507026672363
2,0,-0.90562558174133300781,0.00398039678111672401,0.55224269628524780273,0.25167691707611083984
2,0,-0.90504729747772216797,0.00417299941182136536,0.53412437438964843750,0.26361221075057983398
2,0,-0.90452939271926879883,0.00436403509229421616,0.51613163948059082031,0.27566567063331604004
2,0,-0.90407568216323852539,0.00455211987718939781,0.49834775924682617188,0.28778776526451110840
2,0,-0.90368992090225219727,0.00473575154319405556,0.48085898160934448242,0.29992318153381347656
2,0,-0.90337628126144409180,0.00491333659738302231,0.46375319361686706543,0.31201153993606567383
2,0,-0.90313857793807983398,0.00508318841457366943,0.44711989164352416992,0.32398706674575805664
2,0,-0.90298110246658325195,0.00524356914684176445,0.43104732036590576172,0.33577972650527954102
2,0,-0.90290749073028564453,0.00539270415902137756,0.41562241315841674805,0.34731554985046386719
2,0,-0.90292173624038696289,0.00552883464843034744,0.40092796087265014648,0.35851839184761047363
2,0,-0.90302705764770507812,0.00565027631819248199,0.38704103231430053711,0.36931130290031433105
2,0,-0.90322613716125488281,0.00575545150786638260,0.37403142452239990234,0.37961792945861816406
2,0,-0.90352070331573486328,0.00584296882152557373,0.36195939779281616211,0.38936522603034973145
2,0,-0.90391212701797485352,0.00591166876256465912,0.35087400674819946289,0.39848554134368896484
2,0,-0.90440016984939575195,0.00596066890284419060,0.34081250429153442383,0.40691822767257690430
2,0,-0.90498393774032592773,0.00598942162469029427,0.33179849386215209961,0.41461271047592163086
2,0,-0.90566116571426391602,0.00599771924316883087,0.32384213805198669434,0.42152947187423706055
2,0,-0.90642875432968139648,0.00598572287708520889,0.31693971157073974609,0.42764168977737426758
2,0,-0.90728211402893066406,0.00595394615083932877,0.31107413768768310547,0.43293631076812744141
2,0,-0.90821570158004760742,0.00590324215590953827,0.30621597170829772949,0.43741396069526672363
2,0,-0.90922361612319946289,0.00583475222811102867,0.30232471227645874023,0.44108855724334716797
2,0,-0.91029846668243408203,0.00574988266453146935,0.29934939742088317871,0.44398722052574157715
2,0,-0.91143268346786499023,0.00565024279057979584,0.29723069071769714355,0.44614839553833007812
2,0,-0.91261827945709228516,0.00553758163005113602,0.29590237140655517578,0.44762021303176879883
2,0,-0.91384649276733398438,0.00541375065222382545,0.29529255628585815430,0.44845947623252868652
2,0,-0.91510891914367675781,0.00528063951060175896,0.29532539844512939453,0.44872912764549255371
2,0,-0.91639679670333862305,0.00514012807980179787,0.29592260718345642090,0.44849628210067749023
2,0,-0.91770130395889282227,0.00499405106529593468,0.29700443148612976074,0.44783112406730651855
2,0,-0.91901457309722900391,0.00484415749087929726,0.29849129915237426758,0.44680428504943847656
2,0,-0.92032802104949951172,0.00469209020957350731,0.30030450224876403809,0.44548618793487548828
2,0,-0.92163419723510742188,0.00453934958204627037,0.30236792564392089844,0.44394505023956298828
2,0,-0.92292577028274536133,0.00438729673624038696,0.30460810661315917969,0.44224628806114196777
2,0,-0.92419612407684326172,0.00423712376505136490,0.30695623159408569336,0.44045075774192810059
2,0,-0.92543941736221313477,0.00408987468108534813,0.30934745073318481445,0.43861538171768188477
2,0,-0.92665022611618041992,0.00394642213359475136,0.31172272562980651855,0.43679147958755493164
2,0,-0.92782419919967651367,0.00380748626776039600,0.31402838230133056641,0.43502524495124816895
2,0,-0.92895734310150146484,0.00367363588884472847,0.31621703505516052246,0.43335682153701782227
2,0,-0.93004679679870605469,0.00354530266486108303,0.31824737787246704102,0.43182086944580078125
2,0,-0.93109011650085449219,0.00342278252355754375,0.32008492946624755859,0.43044590950012207031
2,0,-0.93208593130111694336,0.00330626056529581547,0.32170122861862182617,0.42925557494163513184
