n,l,g,energy,pde_loss,epochs,time,param_file,wf_file
1,0,0.025,-0.9509230792522431,9.770160644961834e-07,10590.0,8.492228579521178,state_n_1_l_0.pt,wf_n_1_l_0.npy
2,0,0.025,-0.20354813337326044,5.2510758408175207e-08,38070.0,30.277348041534424,state_n_2_l_0.pt,wf_n_2_l_0.npy
2,1,0.025,-0.20297829955816266,1.162836589685412e-07,85820.0,69.55783452987671,state_n_2_l_1.pt,wf_n_2_l_1.npy
3,0,0.025,-0.0686545297503471,4.0504823601850147e-07,135749.9,111.25883932113648,state_n_3_l_0.pt,wf_n_3_l_0.npy
3,1,0.025,-0.06814057603478427,1.141153997963329e-07,194370.0,153.27438611984252,state_n_3_l_1.pt,wf_n_3_l_1.npy
