n,l,energy,pde_loss,norm_loss,ortho_loss
3,0,-0.105297200,0.000018023,0.984805226,0.003565046
3,0,-0.208388612,0.000059591,0.921683848,0.034876198
3,0,-0.215206787,0.000077219,0.891591609,0.050251406
3,0,-0.224222153,0.000134371,0.794141173,0.102025673
3,0,-0.228020102,0.000205855,0.675932348,0.169498608
3,0,-0.229873955,0.000292003,0.542703807,0.253246963
3,0,-0.230835348,0.000391865,0.403962553,0.352452338
3,0,-0.231432602,0.000501724,0.273664176,0.462873280
3,0,-0.232061595,0.000612929,0.168076515,0.573975086
3,0,-0.233068645,0.000710670,0.098871171,0.667616367
3,0,-0.234586805,0.000779313,0.064741112,0.726115942
3,0,-0.236596793,0.000811306,0.056184649,0.742547989
3,0,-0.239057928,0.000809501,0.066084221,0.722012639
3,0,-0.241962239,0.000782487,0.092104979,0.675442159
3,0,-0.245316997,0.000740142,0.132862449,0.614475727
3,0,-0.249111921,0.000691427,0.184881508,0.549114347
3,0,-0.253293753,0.000643450,0.242411315,0.486812413
3,0,-0.257755786,0.000601137,0.299041301,0.432274222
3,0,-0.262345195,0.000567361,0.349437237,0.387782097
3,0,-0.266885340,0.000543387,0.390200645,0.353863120
3,0,-0.271204412,0.000529435,0.419800639,0.330022126
3,0,-0.275160581,0.000525166,0.438047528,0.315321863
3,0,-0.278657675,0.000530004,0.445535749,0.308739126
3,0,-0.281649709,0.000543305,0.443256497,0.309326768
3,0,-0.284137219,0.000564402,0.432397932,0.316248029
3,0,-0.286159098,0.000592584,0.414287537,0.328730255
3,0,-0.287784368,0.000627019,0.390408814,0.345980585
3,0,-0.289103955,0.000666669,0.362433910,0.367085725
3,0,-0.290223867,0.000710194,0.332229853,0.390917093
3,0,-0.291258514,0.000755898,0.301800638,0.416069806
3,0,-0.292324215,0.000801737,0.273158044,0.440863371
3,0,-0.293531775,0.000845425,0.248137146,0.463435054
3,0,-0.294979274,0.000884658,0.228203952,0.481940806
3,0,-0.296744108,0.000917430,0.214319825,0.494828284
3,0,-0.298876733,0.000942352,0.206894293,0.501116157
3,0,-0.301395535,0.000958895,0.205818921,0.500575840
3,0,-0.304285437,0.000967455,0.210539743,0.493753076
3,0,-0.307498485,0.000969231,0.220131993,0.481824994
3,0,-0.310957521,0.000965982,0.233381286,0.466351807
3,0,-0.314563394,0.000959724,0.248885915,0.449003816
3,0,-0.318204403,0.000952453,0.265191287,0.431331962
3,0,-0.321768761,0.000945942,0.280932307,0.414619267
3,0,-0.325156718,0.000941625,0.294954062,0.399818808
3,0,-0.328290701,0.000940551,0.306387246,0.387553930
3,0,-0.331121415,0.000943404,0.314673185,0.378161579
3,0,-0.333628595,0.000950539,0.319547176,0.371749014
3,0,-0.335817486,0.000962037,0.321000546,0.368248761
3,0,-0.337712616,0.000977750,0.319233954,0.367463112
3,0,-0.339350700,0.000997341,0.314611107,0.369095802
3,0,-0.340774238,0.001020313,0.307618529,0.372772604
3,0,-0.342026621,0.001046032,0.298827708,0.378055751
3,0,-0.343149155,0.001073756,0.288858861,0.384458005
3,0,-0.344178677,0.001102661,0.278344631,0.391458690
3,0,-0.345145911,0.001131889,0.267890453,0.398528278
